CUST_ID;BALANCE;BALANCE_FREQUENCY;PURCHASES;ONEOFF_PURCHASES;INSTALLMENTS_PURCHASES;CASH_ADVANCE;PURCHASES_FREQUENCY;ONEOFF_PURCHASES_FREQUENCY;PURCHASES_INSTALLMENTS_FREQUENCY;CASH_ADVANCE_FREQUENCY;CASH_ADVANCE_TRX;PURCHASES_TRX;CREDIT_LIMIT;PAYMENTS;MINIMUM_PAYMENTS;PRC_FULL_PAYMENT;TENURE
C10024;3800151377;0.81818;4248.35;3454.56;793.79;7974415626;1;0.083333;0.916667;0.333333;13;13;9000;9479043842;1425426525;0;12
C10025;5368571219;1;0;0;0;798949863;0;0;0;0.363636;4;0;6000;1422726707;1657002877;0;11
C10026;169781679;1;399.6;0;399.6;0;1;0;1;0;0;12;3000;215306142;163005536;0;12
C10027;161596724;1;102;102;0;244840485;0.166667;0.166667;0;0.25;5;2;1700;890178845;971183209;0;12
C10028;125694817;1;233.28;0;233.28;0;1;0;1;0;0;12;1000;207773715;164748819;0;12
C10029;7152864372;1;387.05;204.55;182.5;2236145259;0.666667;0.166667;0.416667;0.833333;16;8;10500;1601448347;1648851345;0;12
C10030;2206349;1;100;0;100;0;0.416667;0;0.416667;0;0;5;6900;160767773;159684442;0;12
C10031;1213621996;1;3038.01;1013.2;2024.81;3183583301;1;0.166667;1;0.5;10;64;13000;4230323491;329201503;0;12
C10032;1162273324;1;1347.71;400;947.71;175815755;1;0.083333;1;0.166667;2;45;6000;645998299;256848991;0;12
C10033;6732823064;1;324.95;324.95;0;1189533753;0.083333;0.083333;0;0.166667;3;3;10500;1720118876;2506745366;0;12
C10034;125660453;1;636.79;636.79;0;0;0.916667;0.916667;0;0;0;11;1200;423449696;196301885;0.3;12
C10035;3517101616;0.72727;547.28;0;547.28;0;1;0;1;0;0;14;11000;8735607835;1786255831;0;12
C10036;1656350781;1;0;0;0;99264367;0;0;0;0.083333;1;0;1800;351500199;634569311;0;12
C10037;7427076941;1;0;0;0;8873375046;0;0;0;0.727273;11;0;9000;1636361601;1986843608;0;11
C10038;4047480828;1;2380.55;1642.17;738.38;1697660901;0.75;0.5;0.75;0.333333;7;41;5000;1617894416;1541141605;0;12
C10039;6269418144;1;204;204;0;2925699862;0.083333;0.083333;0;0.333333;12;2;9000;1237111661;2049408839;0;12
C10040;141160223;0.45455;963.24;963.24;0;6173682877;0.083333;0.083333;0;0.333333;6;6;7500;2007107544;719948985;0.333333;12
C10041;66344781;0.72727;0;0;0;3133063934;0;0;0;0.25;3;0;1800;306705783;283333445;0.166667;12
C10043;784889762;0.90909;1526.59;786.3;740.29;2188419607;0.583333;0.416667;0.333333;0.25;11;27;3000;1262309666;363142736;0.111111;12
C10044;4104710798;1;203.82;203.82;0;0;0.083333;0.083333;0;0;0;1;4500;868275275;1801264841;0;12
C10045;1360742377;1;0;0;0;1481587093;0;0;0;0.083333;1;0;1500;378294227;321354137;0;12
C10046;5315945594;1;1525.44;469.8;1055.64;0;1;0.333333;1;0;0;20;8500;1430341501;131871492;0;12
C10047;2242311686;1;437;97;340;184648692;0.333333;0.083333;0.333333;0.166667;2;5;2400;0;;0;12
C10048;474447149;0.5;109.74;0;109.74;1013659552;0.375;0;0.25;0.125;1;3;1700;176013005;147199792;0;8
C10049;3910111237;1;0;0;0;1980873201;0;0;0;0.5;7;0;4200;0;;0;12
C10050;229867179;1;2390.6;1402.93;987.67;0;1;0.666667;1;0;0;87;3300;2543953559;175657825;0.916667;12
C10051;863809833;1;507.5;507.5;0;695097159;0.166667;0.166667;0;0.083333;2;3;4000;587866451;286448719;0.083333;12
C10052;4931331857;1;901.42;646.07;255.35;8530648614;0.625;0.375;0.25;0.875;37;9;12000;8113297346;1012415961;0;8
C10053;1078888565;1;3107.85;2221.74;886.11;0;0.666667;0.583333;0.5;0;0;18;2500;139982834;1322446601;0;12
C10054;1565681099;1;0;0;0;321359135;0;0;0;0.25;3;0;3500;691825279;581481917;0;12
C10055;464674156;0.88889;1979.22;1979.22;0;1981265503;0.666667;0.666667;0;0.111111;1;11;3000;3110052742;132446091;0.2;9
C10056;6660517;0.63636;310;0;310;0;0.666667;0;0.666667;0;0;8;1000;417016763;;0;12
C10057;1311995984;1;1283.9;1283.9;0;0;0.25;0.25;0;0;0;6;6000;0;;0;12
C10058;3625218146;1;313.27;313.27;0;668468743;0.25;0.25;0;0.416667;5;4;4000;0;;0;12
C10059;2386330629;1;5217.62;4789.09;428.53;0;0.916667;0.916667;0.5;0;0;42;7500;5678729613;1311514878;0.083333;12
C10060;3971138765;1;0;0;0;224575517;0;0;0;0.181818;3;0;4000;764938728;1600212243;0;11
C10061;549390406;1;229;0;229;970591332;0.416667;0;0.333333;0.333333;4;6;6000;2110557023;189502617;0;12
C10062;1879114033;0.72727;113;113;0;0;0.166667;0.166667;0;0;0;2;6500;3509686561;548105836;0;12
C10063;1555793701;1;66.2;66.2;0;0;0.083333;0.083333;0;0;0;1;1600;338083661;837215674;0;12
C10064;809582978;0.90909;0;0;0;3819672466;0;0;0;0.545455;7;0;4150;4372148648;241645387;0.090909;11
C10065;7152356;0.09091;840;840;0;0;0.083333;0.083333;0;0;0;1;1600;0;;0;12
C10067;1923886805;1;1887.64;0;1887.64;1605949371;1;0;1;0.083333;4;61;1850;3688045998;3266996777;0.083333;12
C10068;1758059987;1;412.33;325.21;87.12;0;0.583333;0.333333;0.166667;0;0;11;1800;777451648;897905444;0;12
C10069;809847455;0.875;0;0;0;908423608;0;0;0;0.125;1;0;1500;146074769;179412493;0;8
C10070;1576305029;1;0;0;0;382908547;0;0;0;0.416667;6;0;2500;540022225;352883804;0;12
C10071;3990523579;1;263.5;190.6;72.9;0;0.666667;0.083333;0.583333;0;0;8;6000;6876836205;1001607366;0.083333;12
C10072;1699435486;1;1363.69;1363.69;0;0;0.333333;0.333333;0;0;0;4;1700;1623816348;923505868;0;12
C10073;5487683724;1;419.1;0;419.1;625399386;0.916667;0;0.833333;0.333333;4;11;6250;1288214909;2180881868;0;12
C10074;2990422186;0.90909;4523.27;1664.09;2859.18;2729648576;0.666667;0.5;0.583333;0.833333;27;33;7000;2823269446;1107030803;0.454545;12
C10075;65601301;1;0;0;0;1474349901;0;0;0;0.125;3;0;7000;910457985;140983193;0.25;8
C10077;1808972419;1;713.9;503.08;210.82;0;0.5;0.1;0.4;0;0;8;2250;889017418;622757696;0;10
C10078;532334517;0.90909;791.94;516.64;275.3;0;0.272727;0.090909;0.181818;0;0;7;6000;1305177304;175510344;0;11
C10079;5860433624;1;561.87;249.5;312.37;0;0.833333;0.166667;0.75;0;0;14;6000;1990044998;2161428274;0;12
C10080;1727638449;1;606.11;606.11;0;0;1;1;0;0;0;17;11000;2959920544;623656993;0;12
C10081;578809679;1;320;0;320;0;0.75;0;0.666667;0;0;8;1500;1438910569;190186542;0;12
C10082;1205716678;1;0;0;0;38325801;0;0;0;0.083333;1;0;1200;29278671;8242687678;0;12
C10083;6593820644;1;388.66;388.66;0;462193458;0.583333;0.583333;0;0.416667;7;7;7000;1624583114;250340234;0;12
C10084;17357563;0.90909;244.85;40.21;204.64;0;0.666667;0.166667;0.583333;0;0;13;5000;357802082;121523416;0.181818;12
C10085;81584711;0.27273;0;0;0;2985300006;0;0;0;0.166667;5;0;9500;116569033;164692136;0;12
C10086;378631;0.63636;133.05;28.2;104.85;0;0.416667;0.166667;0.25;0;0;5;12000;210053432;99533735;0.444444;12
C10087;4246443;0.54546;396;0;396;0;0.5;0;0.416667;0;0;12;1200;725606194;140809454;1;12
C10088;1935362486;1;4915.6;4515.34;400.26;293844792;1;1;0.333333;0.083333;1;50;9000;4921066897;594756686;0;12
C10089;134917202;1;1247.8;1247.8;0;0;1;1;0;0;0;22;16500;1275229436;171357189;1;12
C10090;7069950386;1;1603.78;1445.14;158.64;5626004046;1;0.833333;1;0.75;23;23;11000;4589873897;1876262988;0;12
C10092;8181251131;1;2258.01;1318.78;939.23;5251228934;1;0.75;1;0.75;21;60;13500;3021575846;2074581541;0;12
C10093;4037305658;1;45;45;0;104238064;0.083333;0.083333;0;0.083333;1;1;4500;1073844885;968941265;0;12
C10094;6110265264;1;0;0;0;2717253917;0;0;0;0.416667;14;0;6500;1502205631;2864380327;0;12
C10095;9381255094;1;5100.07;1147.83;3952.24;370737197;1;0.25;0.916667;0.083333;1;46;9000;6409496345;9827045323;0;12
C10096;197700709;1;1032.04;226.9;805.14;4335919227;0.909091;0.090909;0.818182;0.545455;21;17;4000;3056424974;910707525;0.090909;11
C10097;132147608;1;45.65;45.65;0;495657934;0.083333;0.083333;0;0.083333;1;1;1800;440840439;312560636;0;12
C10098;1307717841;1;405.6;405.6;0;0;0.166667;0.166667;0;0;0;2;2400;0;;0;12
C10099;2329485768;1;213.34;213.34;0;0;0.25;0.25;0;0;0;3;2400;0;;0;12
C10100;1139782882;1;0;0;0;120612912;0;0;0;0.083333;1;0;1200;151823651;2906110765;0;12
C10101;1619955708;1;739.44;739.44;0;0;0.666667;0.666667;0;0;0;11;6000;417128532;389138517;0;12
C10102;3505671311;1;0;0;0;1713984305;0;0;0;0.5;6;0;4000;0;;0;12
C10103;4708041;0.36364;79;0;79;0;0.25;0;0.166667;0;0;3;7000;217820198;121781205;1;12
C10104;0;0;0;0;0;89849004;0;0;0;0.142857;1;0;3000;138021428;;0;7
C10105;4875885;0.66667;20;20;0;0;0.111111;0.111111;0;0;0;1;1500;26487919;60913577;0;9
C10106;23394411;0.27273;1346.28;0;1346.28;0;1;0;1;0;0;12;2000;712149153;5479166;0;12
C10107;3539801912;1;2823.8;1540.41;1283.39;0;0.916667;0.916667;0.833333;0;0;75;5700;9172788366;2103796148;0.083333;12
C10108;1;0.09091;389.96;0;389.96;0;1;0;1;0;0;31;4500;0;;0;12
C10109;86207238;1;0;0;0;920309805;0;0;0;0.083333;1;0;4000;2236890255;214828158;0.083333;12
C10110;2441542991;1;808;808;0;959857263;0.25;0.25;0;0.333333;6;4;4000;532741699;1026976;0;12
C10111;408656365;1;941.64;0;941.64;0;1;0;1;0;0;12;2500;109778942;176610605;0.083333;12
C10112;4986400804;1;0;0;0;5439467563;0;0;0;0.583333;40;0;8000;1241538024;1439230899;0;12
C10113;1246624558;1;423.7;177.64;246.06;412399058;0.666667;0.166667;0.5;0.083333;2;10;2000;577050373;498365419;0;12
C10114;6644201651;1;4478.75;2721.59;1757.16;7205520805;1;0.916667;1;0.583333;21;64;9000;1085794321;2469571326;0.083333;12
C10115;156216753;0.81818;1354.86;585.63;769.23;0;0.916667;0.333333;0.833333;0;0;34;5500;858976682;108319927;0;12
C10116;3393351236;1;0;0;0;1008348672;0;0;0;0.083333;2;0;4200;0;;0;12
C10117;5322994094;1;2812.2;857.12;1955.08;2510352951;1;0.25;1;0.333333;8;81;8500;1509423237;1834031569;0;12
C10118;645856209;1;0;0;0;3360228794;0;0;0;0.25;11;0;7000;127776778;2760115734;0;12
C10119;175341651;0.81818;1508.9;1252.36;256.54;0;0.666667;0.416667;0.333333;0;0;14;5000;1884227778;136639824;1;12
C10120;680195157;1;1045.57;667.95;377.62;0;1;0.583333;1;0;0;25;3000;552432305;207720441;0;12
C10121;223763616;0.63636;2309.78;0;2309.78;0;0.583333;0;0.5;0;0;12;6500;120681188;99372848;0.333333;12
C10122;1785626943;1;0;0;0;576206382;0;0;0;0.25;10;0;1800;687691735;2439136113;0;12
C10123;54933231;0.27273;495;0;495;0;0.166667;0;0.166667;0;0;2;7000;1969845566;147049952;1;12
C10124;2662629852;1;0;0;0;509023801;0;0;0;0.333333;4;0;3000;932418855;709207016;0;12
C10125;8504876253;1;6724.26;4100.08;2624.18;1686599777;1;0.916667;1;0.5;10;85;17000;1888756861;2167446204;0;12
C10126;1464324632;1;1174.39;1174.39;0;0;0.25;0.25;0;0;0;8;9000;0;;0;12
C10127;2114158683;1;5580.85;0;5580.85;0;1;0;1;0;0;75;8500;3564977774;63000413;0;12
C10128;2876396444;1;0;0;0;99884867;0;0;0;0.166667;2;0;3200;1065426905;1412648089;0;12
C10130;1422411541;1;0;0;0;4614427403;0;0;0;0.333333;9;0;19000;3066614272;3406258999;0;12
C10131;2392917738;1;12462.44;12462.44;0;0;0.916667;0.916667;0;0;0;217;2800;1162871557;2000990921;0;12
C10132;57453201;0.75;0;0;0;272713302;0;0;0;0.125;1;0;1200;385853874;84697292;0.166667;8
C10133;4245855092;1;1957.3;1077.3;880;0;0.833333;0.166667;0.583333;0;0;19;5000;100435474;1086428906;0;12
C10134;1116723403;1;150.64;150.64;0;8362154254;0.083333;0.083333;0;0.5;14;1;17000;2606059389;2894077159;0;12
C10135;69405545;0.09091;0;0;0;2799714934;0;0;0;0.083333;3;0;13000;0;;0;12
C10136;116654149;0.27273;907;907;0;273558033;0.25;0.25;0;0.083333;1;8;5000;0;;0;12
C10137;4637848144;1;1271.12;351.54;919.58;0;0.833333;0.25;0.833333;0;0;33;5000;1906032044;3572279251;0;12
C10138;2428497;0.63636;250.6;0;250.6;0;0.583333;0;0.5;0;0;7;3000;319762903;173632006;0;12
C10139;935406045;1;796.33;796.33;0;1374847131;0.083333;0.083333;0;0.666667;16;1;13000;1066465866;2600875721;0.083333;12
C10140;231108995;1;440;0;440;0;0.916667;0;0.916667;0;0;22;4000;554116542;185091037;0;12
C10141;1562633343;1;1330.62;1169.63;160.99;0;0.5;0.166667;0.25;0;0;8;2000;1020783647;709610053;0;12
C10142;2494868559;1;5491.79;1390.5;4101.29;0;1;0.5;1;0;0;52;17000;1015311953;61592402;0;12
C10143;706132889;1;897.86;714.52;183.34;586268966;0.916667;0.333333;0.916667;0.25;3;18;1200;972358048;184524376;0;12
C10144;1904313856;1;22009.92;9449.07;12560.85;0;1;0.75;1;0;0;216;18000;2301857583;1862101331;0;12
C10145;2235103331;1;720.6;720.6;0;723308724;1;1;0;0.083333;1;12;2500;1061292471;689118919;0;12
C10146;94713081;1;197.06;148.66;48.4;0;0.333333;0.25;0.166667;0;0;5;1000;492200419;509384182;0;12
C10147;764042156;0.81818;0;0;0;1307102516;0;0;0;0.166667;3;0;7500;1566806897;172959728;0;12
C10148;5347814547;1;0;0;0;4002353384;0;0;0;0.5;9;0;7000;0;;0;12
C10149;1059846777;1;2084.48;1300.48;784;0;0.666667;0.416667;0.583333;0;0;13;21500;3219621433;3068125648;0;12
C10150;2163678757;1;5779.36;3436.53;2342.83;0;1;1;1;0;0;97;6500;441641268;546439139;0;12
C10151;3057400553;1;1025;1025;0;0;0.083333;0.083333;0;0;0;2;7500;698854095;819682666;0;12
C10152;19354559;0.90909;689.7;0;689.7;0;0.833333;0;0.833333;0;0;10;10000;746691026;;0;12
C10153;264811595;1;28.65;28.65;0;38426178;0.083333;0.083333;0;0.083333;1;1;9000;1235630069;194324456;0.083333;12
C10154;110822253;0.90909;944.96;164.96;780;0;0.5;0.25;0.416667;0;0;9;1500;1955198953;992652486;0;12
C10155;906573724;1;1039.2;80;959.2;103102091;0.833333;0.083333;0.833333;0.083333;1;11;13500;1855235407;468196732;0.083333;12
C10156;767962904;1;4059.93;0;4059.93;555469352;0.583333;0;0.5;0.166667;7;14;7000;368561062;128549397;0;12
C10157;1523911458;1;4075.37;3322.28;753.09;0;1;1;1;0;0;31;6500;225426002;32929648;0;12
C10158;49206256;1;870.24;0;870.24;0;1;0;1;0;0;24;8000;835839952;193011166;1;12
C10159;1367307961;1;9792.23;3959.81;5832.42;2444445738;1;0.75;1;0.75;26;216;20000;1171730794;6042391629;0;12
C10160;106455975;0.63636;2463.12;789.53;1673.59;0;1;0.5;1;0;0;46;4000;2573722764;95342224;0.636364;12
C10161;119760904;0.36364;1859.34;0;1859.34;0;0.333333;0;0.25;0;0;4;20000;3104275623;288903628;0.25;12
C10162;5837105453;1;3488.49;3262.25;226.24;33031523;1;1;0.5;0.75;15;46;7900;0;;0;12
C10163;1734510004;1;0;0;0;66275851;0;0;0;0.166667;2;0;1800;363474455;2827997525;0;12
C10164;2765748281;1;7283.31;5087.31;2196;0;1;1;0.666667;0;0;77;11000;143733929;1058128452;0.25;12
C10165;104637041;1;295;295;0;93579809;0.083333;0.083333;0;0.083333;1;2;1200;439407082;362838185;0;12
C10166;2737367678;1;0;0;0;429691164;0;0;0;0.416667;5;0;3000;778827993;721798576;0;12
C10167;4014818167;1;0;0;0;988356213;0;0;0;0.083333;1;0;8500;1009185035;1177149934;0;12
C10168;871568977;1;648.22;115;533.22;0;1;0.083333;1;0;0;27;1200;1110886425;208298424;0;12
C10169;1610040203;1;557.19;525.64;31.55;0;0.25;0.083333;0.166667;0;0;5;4000;422711848;616005839;0;12
C10170;114593817;1;469.98;0;469.98;0;1;0;0.833333;0;0;6;1000;367109312;86102479;0.5;6
C10171;5800587339;1;0;0;0;369950794;0;0;0;0.083333;1;0;6500;1346365584;1972526015;0;12
C10172;823103926;0.36364;131.64;0;131.64;0;1;0;1;0;0;12;8000;2916071564;243199498;0;12
C10173;595677343;1;5078.14;4330.53;747.61;1424442602;0.916667;0.666667;0.75;0.083333;1;42;15000;4756654374;241894073;0.916667;12
C10174;1128124563;1;924.6;0;924.6;0;1;0;1;0;0;12;1000;1202711782;1747037345;0;12
C10175;349441102;1;1975.4;1393.5;581.9;0;0.666667;0.416667;0.333333;0;0;17;4000;1795012223;167219681;0;12
C10176;840804076;0.66667;0;0;0;3671777443;0;0;0;0.222222;5;0;4000;3621266477;193171404;0;9
C10177;975942008;1;10221.35;7141.38;3079.97;1620685551;1;1;0.833333;0.583333;18;130;10500;1069349585;347641073;0.75;12
C10178;23111088;0.36364;300;0;300;0;0.25;0;0.166667;0;0;3;12500;291948834;43452683;0.181818;12
C10179;2187732265;0.85714;0;0;0;3905326256;0;0;0;0.285714;9;0;3000;1423788603;461365626;0.2;7
C10180;1197201104;1;5715;4685.54;1029.46;1626351366;1;1;1;0.166667;3;90;14000;4639513745;3192306018;0;12
C10181;1608451822;1;0;0;0;205737165;0;0;0;0.166667;2;0;1800;470565984;408799147;0;12
C10182;1872926275;1;766.61;766.61;0;1017120578;0.833333;0.833333;0;0.25;5;12;2300;0;;0;12
C10183;2933240476;1;0;0;0;2040433925;0;0;0;0.583333;13;0;3000;2431578544;173974883;0;12
C10184;336799916;1;3535.8;1614.7;1921.1;0;1;0.416667;0.916667;0;0;44;20000;2814231227;186230835;1;12
C10185;36236312;0.45455;256.11;0;256.11;0;0.416667;0;0.416667;0;0;5;5300;831375322;189036967;0.166667;12
C10186;90329781;1;2697.48;150.5;2546.98;0;1;0.333333;1;0;0;39;2500;1686196344;303361632;0;12
C10187;0;0;23;0;23;0;0.083333;0;0.083333;0;0;1;5000;0;;0;12
C10188;2881253586;1;117;0;117;1766149486;0.25;0;0.166667;0.75;28;3;4500;1730183238;931618475;0.166667;12
C10189;5465999;0.09091;196.81;173;23.81;0;0.083333;0.083333;0.083333;0;0;3;12000;0;;0;12
C10190;117442684;1;653.73;493;160.73;0;0.666667;0.416667;0.416667;0;0;15;10000;441588141;136827952;0;12
C10191;168522709;0.81818;2009.05;0;2009.05;0;0.833333;0;0.75;0;0;22;1200;2612760497;197638558;0.142857;12
C10192;1706014379;1;147.78;0;147.78;1657090283;0.166667;0;0.166667;0.25;4;2;6000;1186062765;374595505;0;12
C10193;874583247;1;516.54;159.07;357.47;0;1;0.333333;0.916667;0;0;30;900;579749308;693894717;0;12
C10194;861001207;1;969.56;969.56;0;446233197;0.416667;0.416667;0;0.083333;1;6;2400;0;;0;12
C10196;966251742;1;311.45;311.45;0;955959749;0.333333;0.333333;0;0.083333;1;15;1500;277522439;286299328;0;12
C10197;38615644;0.72727;280.4;280.4;0;0;0.25;0.25;0;0;0;3;6150;254392984;5579974;0.090909;12
C10198;189687964;1;66.14;66.14;0;0;0.083333;0.083333;0;0;0;2;6000;0;;0;12
C10199;40417255;0.36364;79.2;79.2;0;1631576375;0.083333;0.083333;0;0.083333;1;1;4000;1647880773;24815878;0.083333;12
C10200;5462897068;1;1453.32;0;1453.32;0;0.5;0;0.5;0;0;18;16500;1382269127;1755253802;0;12
C10201;3983923705;1;756.54;756.54;0;0;0.5;0.5;0;0;0;15;4000;1110870941;1431201171;0;12
C10202;5588846272;1;3507.35;603.75;2903.6;0;0.916667;0.166667;0.833333;0;0;34;11500;1412597253;1825176503;0;12
C10203;281170378;0.81818;3163.69;56.8;3106.89;0;0.75;0.083333;0.666667;0;0;36;8000;2422911622;187046284;0.888889;12
C10204;130251538;0.90909;1343.19;1082.79;260.4;0;1;1;0.583333;0;0;33;15000;104355929;182429461;0.545455;12
C10205;1973814964;1;873;873;0;0;0.166667;0.166667;0;0;0;5;8000;541722532;762682834;0;12
C10206;5698539876;1;47.55;0;47.55;203952804;0.166667;0;0.166667;0.75;14;2;6000;2976579866;3463174962;0;12
C10207;43103899;0.45455;370;370;0;0;0.166667;0.166667;0;0;0;2;23000;1212054219;68725483;0;12
C10208;566546048;0.90909;405.75;313.75;92;1044651618;0.5;0.166667;0.416667;0.333333;6;12;2000;1249835142;313052687;0;12
C10209;24527253;0.90909;261.64;0;261.64;0;0.833333;0;0.833333;0;0;10;4000;376758504;16978292;0.818182;12
C10211;8350145568;1;1989.28;842.8;1146.48;893757903;0.333333;0.166667;0.166667;0.083333;2;8;14000;4720900413;2557044576;0;12
C10212;4559779234;1;10848.5;8208;2640.5;0;1;0.666667;1;0;0;123;7500;9423715495;2925275522;0;12
C10213;267713;0.09091;43.39;0;43.39;0;0.083333;0;0.083333;0;0;1;4000;130107234;29700051;0.090909;12
C10214;1570682346;1;645.32;645.32;0;1665331678;0.166667;0.166667;0;0.416667;9;2;1800;2591391006;808217224;0;12
C10215;7201736985;1;987.1;862.1;125;5468620604;0.333333;0.333333;0.083333;0.25;16;9;10500;1941541158;2391987571;0;12
C10216;6467885013;1;1464.14;978.71;485.43;394786784;0.833333;0.583333;0.666667;0.416667;10;23;11500;1658563509;1887413517;0;12
C10217;64080909;0.45455;927;600;327;0;0.25;0.083333;0.166667;0;0;4;5000;126016384;5904439;0.222222;12
C10218;5635860679;1;393.62;153.72;239.9;5933467329;0.916667;0.916667;0.166667;0.75;24;15;10000;1919630466;1731549385;0;12
C10219;367050596;1;965.5;876.13;89.37;0;0.5;0.5;0.083333;0;0;9;7500;1034932404;941496383;0;12
C10220;2458376257;0.81818;0;0;0;102275984;0;0;0;0.083333;1;0;7500;454363481;64720869;0;12
C10221;768004936;1;336.41;336.41;0;0;0.75;0.75;0;0;0;9;6000;947696134;217027653;0;12
C10222;75647479;0.72727;540;0;540;0;0.25;0;0.166667;0;0;3;4000;548967281;48659935;0;12
C10223;2433254;0.18182;36;0;36;0;0.166667;0;0.083333;0;0;2;7500;0;;0;12
C10224;1121730896;1;878.52;103.1;775.42;197648111;1;0.166667;0.916667;0.083333;1;39;1500;542836917;471496776;0;12
C10226;756809;0.54546;144.26;67.08;77.18;0;0.333333;0.083333;0.166667;0;0;7;11500;134710832;75515008;0.111111;12
C10227;2053441598;1;493.85;441.35;52.5;173833378;0.5;0.333333;0.25;0.833333;16;10;2000;2795059574;2661324808;0;12
C10228;2422311938;1;4490.69;3456.25;1034.44;188783221;1;0.916667;1;0.083333;1;52;8500;5763666926;582589765;0;12
C10229;9047621884;1;11188.62;6099.16;5089.46;0;1;0.75;1;0;0;151;10000;1199441815;8517258683;0;12
C10230;3061213971;1;1829.2;1792.7;36.5;0;1;1;0.083333;0;0;17;7000;971234118;985954762;0;12
C10231;41642389;0.85714;75.99;75.99;0;0;0.142857;0.142857;0;0;0;1;2700;69163384;99401747;0;7
C10232;5431622968;1;1824.16;1598.56;225.6;0;1;0.916667;0.75;0;0;23;14500;1508016452;1370519926;0;12
C10233;6571484039;1;9325.22;9325.22;0;0;0.333333;0.333333;0;0;0;5;8500;1103672668;1824680131;0;12
C10234;28461629;1;100;100;0;0;0.083333;0.083333;0;0;0;1;4000;125769169;104857518;0;12
C10235;4178625215;1;1431.89;430.69;1001.2;0;1;0.416667;0.833333;0;0;39;4000;2384542045;386870983;0;12
C10236;3019019487;1;2260.41;1356.33;904.08;0;0.833333;0.416667;0.75;0;0;25;8500;2187930651;739224894;0;12
C10237;1045584;0.33333;0;0;0;466643895;0;0;0;0.111111;1;0;1200;1068581252;25537;0.5;9
C10238;2723369217;0.90909;10410.49;1158.84;9251.65;0;0.75;0.666667;0.583333;0;0;41;19500;9695650901;726696049;0.363636;12
C10239;1070999446;1;990.7;482;508.7;0;0.75;0.25;0.583333;0;0;13;1400;505317328;438324017;0;12
C10240;279608696;1;3034.92;0;3034.92;0;1;0;1;0;0;12;2900;2928909865;2733317012;0.083333;12
C10241;1255901821;1;1038.81;1038.81;0;1092634704;0.916667;0.916667;0;0.083333;1;21;5700;1215454299;422331098;0;12
